ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512646,Source2,3,2022-09-08 09:40:05+00:00,2022-09-08 10:10:00+00:00,41.871464,-87.744164,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Eastbound at Exit 24B Lexington St.,Eisenhower Expy,Chicago,Cook,IL,60644,US,US/Central,KMDW,2022-09-08 09:53:00,76.0,76.0,56.0,29.37,10.0,SW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512724,Source2,3,2022-09-08 08:12:51+00:00,2022-09-08 09:13:49+00:00,41.694263,-87.659653,,,0.0,Lane blocked due to crash on I-57 Northbound at Exit 355 111th St.,W 110th St,Chicago,Cook,IL,60643-3620,US,US/Central,KMDW,2022-09-08 07:53:00,69.0,69.0,65.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512744,Source2,3,2022-09-08 07:29:25+00:00,2022-09-08 07:58:52+00:00,41.875534,-87.666122,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Eastbound at Exit 28 Ashland Ave.,S Loomis St,Chicago,Cook,IL,60607-2835,US,US/Central,KMDW,2022-09-08 07:53:00,69.0,69.0,65.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512760,Source2,1,2022-09-08 08:29:54+00:00,2022-09-08 08:59:48+00:00,41.87804000000001,-87.641037,,,0.0,Crash on Jackson Blvd at Clinton St.,S Clinton St,Chicago,Cook,IL,60661,US,US/Central,KMDW,2022-09-08 08:53:00,72.0,72.0,64.0,29.39,10.0,CALM,0.0,0.0,Fair,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-512824,Source2,1,2022-09-08 08:11:34+00:00,2022-09-08 09:12:04+00:00,41.893261,-87.629707,,,0.0,Crash on Ontario St at Dearborn St.,N Dearborn St,Chicago,Cook,IL,60654-3802,US,US/Central,KMDW,2022-09-08 07:53:00,69.0,69.0,65.0,29.39,10.0,CALM,0.0,0.0,Fair,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-512865,Source2,3,2022-09-08 07:22:03+00:00,2022-09-08 07:51:24+00:00,41.859779,-87.641052,,,2.470000028610229,Lane blocked due to crash on I-55 Northbound between Exit 290 Damen Ave and Exit 292 Dan Ryan Expy.,W 16th St,Chicago,Cook,IL,60616-1146,US,US/Central,KMDW,2022-09-08 06:53:00,65.0,65.0,75.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512932,Source2,1,2022-09-08 06:59:41+00:00,2022-09-08 07:29:30+00:00,41.884911,-87.61398299999998,,,0.0,Crash on US-41 Jean Baptiste Pointe Dusable Lk Shr Dr near Randolph St.,N DuSable Lake Shore Dr,Chicago,Cook,IL,60601,US,US/Central,KMDW,2022-09-08 06:53:00,65.0,65.0,75.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512995,Source3,3,2022-09-08 06:24:07+00:00,2022-09-08 06:53:51+00:00,41.859173,-87.64444,,,0.0,Lane blocked due to crash on I-90 Dan Ryan Express Lane Eastbound at Exit 52 17th St.,Dan Ryan Expy E,Chicago,Cook,IL,60616,US,US/Central,KMDW,2022-09-08 06:53:00,65.0,65.0,75.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513191,Source2,3,2022-09-07 03:24:54+00:00,2022-09-07 03:53:55+00:00,41.805801,-87.632286,,,0.0,Lane blocked due to crash on I-90 Dan Ryan Expy Westbound at Wells St.,Dan Ryan Expy E,Chicago,Cook,IL,60609,US,US/Central,KMDW,2022-09-07 03:53:00,70.0,70.0,81.0,29.46,10.0,NNW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513245,Source2,3,2022-09-07 03:20:11+00:00,2022-09-07 04:03:31+00:00,41.660538,-87.588875,,,0.0,Lane blocked due to crash on I-94 Bishop Ford Fwy at Exits 68A 68B 130th St.,Bishop Ford Fwy W,Chicago,Cook,IL,60633,US,US/Central,KGYY,2022-09-07 03:15:00,65.0,65.0,95.0,29.5,10.0,N,3.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513351,Source2,1,2022-09-07 18:41:31+00:00,2022-09-07 19:41:12+00:00,41.860882,-88.1912,,,0.0,Crash on IL-38 Roosevelt Rd at River Glen Rd.,Roosevelt Rd,West Chicago,DuPage,IL,60185,US,US/Central,KDPA,2022-09-07 18:52:00,74.0,74.0,57.0,29.26,10.0,N,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513355,Source2,2,2022-09-07 18:43:25+00:00,2022-09-07 19:28:02+00:00,41.967754,-87.75544000000002,,,0.0,Crash on I-90 Kennedy Expy Eastbound at Exit 84 Lawrence Ave.,W Lawrence Ave,Chicago,Cook,IL,60630-3823,US,US/Central,KORD,2022-09-07 18:51:00,76.0,76.0,52.0,29.35,10.0,ENE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513356,Source2,2,2022-09-07 17:44:50+00:00,2022-09-07 18:29:32+00:00,41.98344,-87.817963,,,0.0,Crash on I-90 Kennedy Expy Eastbound at Exit 80 IL-72 Higgins Ave.,Kennedy Expy W,Chicago,Cook,IL,60631,US,US/Central,KORD,2022-09-07 17:51:00,78.0,78.0,48.0,29.36,10.0,NE,7.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513445,Source2,2,2022-09-07 17:41:11+00:00,2022-09-07 18:40:34+00:00,41.883141,-87.646019,,,0.0,Crash on I-90 Dan Ryan Express Lane Eastbound at I-90 Dan Ryan Express Lane Exit 53C / I-90 Dan Ryan Expy Exits 51 / I-55 Exits 292.,W Washington Blvd,Chicago,Cook,IL,60661,US,US/Central,KMDW,2022-09-07 17:53:00,79.0,79.0,42.0,29.42,10.0,NE,13.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513550,Source2,2,2022-09-07 16:48:36+00:00,2022-09-07 17:18:17+00:00,41.726334,-87.624863,,,0.0,Crash on I-94 Dan Ryan Expy Eastbound at Exit 62 Lafayette Ave.,S Lafayette Ave,Chicago,Cook,IL,60620,US,US/Central,KMDW,2022-09-07 16:53:00,81.0,81.0,38.0,29.42,10.0,NNE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
