ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512983,Source2,3,2022-09-08 09:05:59+00:00,2022-09-08 09:34:38+00:00,40.797428,-73.922112,,,0.0,Two lanes blocked due to crash on I-278 Robert F Kennedy Brg Southbound at Bronx Shore Rd.,Robert F Kennedy Brg,New York,New York,NY,10035,US,US/Eastern,KNYC,2022-09-08 08:51:00,68.0,68.0,68.0,29.85,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513198,Source2,3,2022-09-06 21:04:13+00:00,2022-09-07 01:27:49+00:00,40.847946,-73.942787,,,0.0,One lane blocked due to crash on I-95 George Washington Bridge Southbound at Exit 1 NY-9A Henry Hudson Pkwy Exits 14 15.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-09-06 21:11:00,68.0,68.0,96.0,29.93,2.0,ENE,9.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514619,Source2,2,2022-09-06 21:03:42+00:00,2022-09-06 22:00:16+00:00,40.771542,-73.994209,,,0.0,Two lanes blocked due to crash on NY-9A 12th Ave Southbound at 57th St.,W 57th St,New York,New York,NY,10019,US,US/Eastern,KNYC,2022-09-06 21:11:00,68.0,68.0,96.0,29.93,2.0,ENE,9.0,0.01,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-515116,Source2,2,2022-09-06 13:16:21+00:00,2022-09-06 13:46:02+00:00,40.783779,-73.942986,,,0.0,Two lanes blocked due to crash on Fdr Dr Northbound at Exit 14 96th St.,FDR Dr N,New York,New York,NY,10029,US,US/Eastern,KNYC,2022-09-06 12:51:00,70.0,70.0,93.0,29.9,3.0,CALM,0.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-516440,Source2,2,2022-09-05 15:08:59+00:00,2022-09-05 15:52:16+00:00,40.84985,-73.942741,,,0.0,Left lane blocked due to crash on US-9 George Washington Bridge lower level Eastbound at Exit 1A NY-9A Henry Hudson Pkwy.,George Washington Brg,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-09-05 14:51:00,86.0,86.0,48.0,29.96,10.0,VAR,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-517099,Source2,3,2022-09-04 12:36:30+00:00,2022-09-04 13:21:04+00:00,40.847923,-73.942825,,,1.8999999761581416,Right lane closed due to crash on I-95 George Washington Bridge (upper level) Northbound from Exit 72 / New Jersey to Exit 1 / New York.,Riverside Dr,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-09-04 12:51:00,86.0,86.0,49.0,30.01,10.0,WSW,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-517186,Source2,2,2022-09-04 08:58:03+00:00,2022-09-04 09:42:35+00:00,40.80275,-73.93148000000002,,,0.0,Two lanes blocked due to crash on Fdr Dr Northbound at Exit 17 Harlem River Dr Exits 17 18 19.,E 126th St,New York,New York,NY,10035-1409,US,US/Eastern,KNYC,2022-09-04 08:51:00,74.0,74.0,76.0,30.06,10.0,VAR,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-517294,Source2,3,2022-09-03 16:23:47+00:00,2022-09-03 17:09:29+00:00,40.846687,-73.932739,,,0.0,Right lane blocked due to crash on I-95 George Washington Bridge Upper Level Northbound at Exit 2.,Cross Bronx Expy,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-09-03 16:51:00,77.0,77.0,56.0,30.11,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-519003,Source2,2,2022-09-01 22:07:21+00:00,2022-09-01 22:51:43+00:00,40.831009,-73.935097,,,0.0,Lane blocked due to crash on Harlem River Dr Northbound at Exit 23 Frederick Douglass Blvd.,Harlem River Dr S,New York,New York,NY,10039,US,US/Eastern,KNYC,2022-09-01 21:51:00,75.0,75.0,34.0,29.95,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-519703,Source2,3,2022-09-01 11:16:43+00:00,2022-09-01 11:46:13+00:00,40.847946,-73.942787,,,0.0,Left lane blocked due to crash on I-95 \tGeorge Washington Bridge Southbound at Upper Trans Manhattan Expy.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-09-01 10:51:00,78.0,78.0,42.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
