ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-7862145,2,41.783218,-87.63155400000002,2022-08-16 20:32:00+00:00,2022-08-16 21:14:00+00:00,6.179999828338622,2.0,6.0,Moderate,Delays of six minutes on I-90 Dan Ryan Expy Eastbound between Exit 53C I-55 Exits 292 292A 292B 293A 293B and Exit 58B Yale Ave. Average speed 20 mph.,Dan Ryan Expy S,Chicago,Cook,IL,US,60621,US/Central,KMDW,2022-08-16T16:53:00.000-04:00,82.0,82.0,33.0,29.42,10.0,NNE,15.0,0.0,,Partly Cloudy
C-6200130,1,41.845482,-87.648659,2022-07-29 17:47:00+00:00,2022-07-29 18:30:15+00:00,1.9299999475479128,1.0,2.0,Moderate,Delays of two minutes on I-55 Stevenson Expy Northbound between Exit 290 Damen Ave and I-55 Stevenson Expy. Average speed 20 mph.,Stevenson Expy N,Chicago,Cook,IL,US,60608,US/Central,KMDW,2022-07-29T13:53:00.000-04:00,80.0,80.0,39.0,29.37,10.0,W,10.0,0.0,,Partly Cloudy
C-13909974,2,41.93446,-87.70015,2022-01-22 22:12:00+00:00,2022-01-22 22:54:06+00:00,5.630000114440918,0.0,5.0,Moderate,Delays of five minutes on I-90 Kennedy Expy Eastbound between Exit 84 Lawrence Ave and Sacramento Ave. Average speed 20 mph.,I-90 E,Chicago,Cook,IL,US,60618,US/Central,KORD,2022-01-22T16:51:00.000-05:00,31.0,21.0,43.0,29.35,10.0,W,14.0,0.0,,Mostly Cloudy
C-6954944,2,41.727341,-87.624313,2022-03-01 12:01:00+00:00,2022-03-01 13:24:07+00:00,6.820000171661378,7.0,9.0,Moderate,Delays of nine minutes on I-94 Dan Ryan Expy Westbound between Exits 66A 66B 115th St and State St. Average speed 20 mph.,Dan Ryan Expy N,Chicago,Cook,IL,US,60620,US/Central,KMDW,2022-03-01T06:53:00.000-05:00,42.0,37.0,62.0,29.25,10.0,WSW,9.0,0.0,,Mostly Cloudy
C-2438318,1,41.902447,-87.66125500000004,2022-08-07 21:51:00+00:00,2022-08-07 22:33:32+00:00,1.5499999523162842,0.0,1.0,Fast,Delays of one minute on I-90 Kennedy Expy Eastbound between Paulina St and Exit 49B Milwaukee Ave. Average speed 20 mph.,I-90 E,Chicago,Cook,IL,US,60642,US/Central,KMDW,2022-08-07T17:53:00.000-04:00,82.0,82.0,74.0,29.33,10.0,WSW,7.0,0.0,,Mostly Cloudy
C-31038205,3,41.899193,-87.660149,2022-03-11 23:45:00+00:00,2022-03-12 00:27:58+00:00,18.670000076293945,15.0,33.0,Moderate,Severe delays of 33 minutes on I-90 Kennedy Expy Eastbound between I-190 and Exit 49B Milwaukee Ave. Average speed 15 mph.,N Milwaukee Ave,Chicago,Cook,IL,US,60642,US/Central,KMDW,2022-03-11T18:53:00.000-05:00,28.0,15.0,39.0,29.35,10.0,W,21.0,0.0,,Mostly Cloudy / Windy
C-18506008,0,41.922134,-87.785393,2022-02-17 23:25:00+00:00,2022-02-18 00:06:23+00:00,0.8100000023841858,1.0,1.0,Moderate,Delays of one minute on Narragansett Ave Southbound in Galewood. Average speed ten mph.,N Narragansett Ave,Chicago,Cook,IL,US,60639-2638,US/Central,KORD,2022-02-17T18:19:00.000-05:00,20.0,4.0,85.0,29.18,0.25,N,20.0,0.01,,Snow
C-1565008,0,41.826447,-87.68409,2022-08-29 22:20:00+00:00,2022-08-29 23:02:33+00:00,0.6399999856948853,0.0,1.0,Slow,Delays of one minute on Archer Ave Westbound between Archer Ave and Western Blvd. Average speed ten mph.,S Western Blvd,Chicago,Cook,IL,US,60609,US/Central,KMDW,2022-08-29T17:53:00.000-04:00,84.0,84.0,61.0,29.15,10.0,WSW,8.0,0.0,,Partly Cloudy
C-7848529,1,41.87915,-87.645523,2022-08-17 17:56:00+00:00,2022-08-17 18:37:45+00:00,0.0,1.0,1.0,Moderate,Delays of one minute on I-94 Westbound near I-90 Dan Ryan Express Lane. Average speed 20 mph.,Kennedy Expy W,Chicago,Cook,IL,US,60661,US/Central,KMDW,2022-08-17T13:53:00.000-04:00,83.0,83.0,39.0,29.45,10.0,E,12.0,0.0,,Partly Cloudy
C-7704950,2,41.729069,-87.624359,2022-05-02 11:57:00+00:00,2022-05-02 13:11:23+00:00,3.7300000190734863,3.0,4.0,Moderate,Delays of four minutes and delays easing on I-94 Dan Ryan Expy Westbound between Exit 65 Stony Island Ext and Exit 61B State St. Average speed 20 mph.,Dan Ryan Expy N,Chicago,Cook,IL,US,60620,US/Central,KMDW,2022-05-02T07:53:00.000-04:00,50.0,50.0,68.0,29.34,10.0,W,8.0,0.0,,Cloudy
