ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-21172936,1,34.003601,-118.15229,2022-01-15 17:50:00+00:00,2022-01-15 18:42:06+00:00,1.6399999856948853,2.0,3.0,Moderate,Delays of three minutes and delays easing on I-5 Southbound between I-710 and Exit 128B Washington Blvd. Average speed 15 mph.,I-5 S,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-01-15T12:52:00.000-05:00,58.0,58.0,84.0,30.01,9.0,CALM,0.0,0.01,,Light Rain
C-8515653,0,34.083759,-118.358429,2022-02-05 22:49:00+00:00,2022-02-05 23:32:53+00:00,1.5499999523162842,0.0,3.0,Slow,Delays of three minutes on Melrose Ave Westbound between Orange Dr and Genesee Ave. Average speed ten mph.,Melrose Ave,Los Angeles,Los Angeles,CA,US,90046-7315,US/Pacific,KBUR,2022-02-05T17:53:00.000-05:00,71.0,71.0,9.0,29.28,10.0,S,8.0,0.0,,Fair
C-33040679,1,34.102940000000004,-118.250687,2022-05-21 17:22:00+00:00,2022-05-21 18:08:55+00:00,2.9800000190734863,1.0,2.0,Fast,Delays of two minutes and delays easing on I-5 Southbound between Exits 141A 141B Los Feliz Blvd and Exits 136A 136B 137A 137B CA-110 Exit 26A. Average speed 30 mph.,Golden State Fwy S,Los Angeles,Los Angeles,CA,US,90039,US/Pacific,KCQT,2022-05-21T12:57:00.000-04:00,64.0,64.0,70.0,29.73,10.0,CALM,0.0,0.0,,Cloudy
C-6952424,1,33.931541,-118.40078,2022-03-01 15:42:00+00:00,2022-03-01 16:26:52+00:00,2.640000104904175,3.0,3.0,Moderate,Delays of three minutes on I-105 Westbound between Exit 2A Imperial Hwy and Imperial Hwy. Average speed 20 mph.,W Imperial Hwy,Los Angeles,Los Angeles,CA,US,90045,US/Pacific,KLAX,2022-03-01T10:53:00.000-05:00,62.0,62.0,31.0,29.94,10.0,ESE,5.0,0.0,,Fair
C-11975330,1,34.117228999999995,-118.337135,2022-09-02 22:03:00+00:00,2022-09-02 22:44:34+00:00,2.470000028610229,0.0,1.0,Moderate,Delays of one minute on US-101 Northbound between Exits 8A 8B Van Ness Ave and Exits 9A 9B 9C 11A Odin St. Average speed 30 mph.,Hollywood Fwy N,Los Angeles,Los Angeles,CA,US,90068,US/Pacific,KBUR,2022-09-02T17:53:00.000-04:00,100.0,100.0,29.0,28.95,10.0,S,12.0,0.0,,Fair
C-6219151,1,33.947941,-118.27932,2022-07-27 21:44:00+00:00,2022-07-27 22:45:57+00:00,2.190000057220459,2.0,3.0,Slow,Delays of three minutes and delays easing on I-110 Northbound between Exit 14B I-105 and Exit 15 Century Blvd. Average speed 20 mph.,Harbor Fwy N,Los Angeles,Los Angeles,CA,US,90003,US/Pacific,KHHR,2022-07-27T17:53:00.000-04:00,75.0,75.0,62.0,29.86,10.0,W,15.0,0.0,,Fair
C-1098472,2,34.06683,-118.253891,2022-02-03 01:19:00+00:00,2022-02-03 02:44:15+00:00,4.179999828338623,2.0,6.0,Moderate,Delays of six minutes and delays increasing on US-101 Westbound between Exits 1B 1C 1st St and Exit 4A Bellevue Ave. Average speed 15 mph.,Hollywood Fwy N,Los Angeles,Los Angeles,CA,US,90012,US/Pacific,KCQT,2022-02-02T17:52:00.000-05:00,65.0,65.0,21.0,29.75,10.0,CALM,0.0,0.0,,Fair
C-8515670,1,34.028423,-118.20821399999998,2022-02-05 21:15:00+00:00,2022-02-05 21:56:59+00:00,1.820000052452088,3.0,3.0,Moderate,Delays of three minutes on CA-60 Westbound between Exit 2 Indiana St and Exits 1A 1C-1E I-5 Exits 134A 134B. Average speed 15 mph.,CA-60 W,Los Angeles,Los Angeles,CA,US,90023,US/Pacific,KCQT,2022-02-05T15:57:00.000-05:00,70.0,70.0,12.0,29.93,10.0,CALM,0.0,0.0,,Fair
C-2425706,1,34.037926,-118.278427,2022-08-09 02:18:00+00:00,2022-08-09 03:13:16+00:00,2.2799999713897705,0.0,1.0,Moderate,Delays of one minute and delays easing on I-10 Eastbound between Exits 10 11 12 CA-110 Exits 22 22A 22B and Exit 14A 18th St. Average speed 30 mph.,I-10 E,Los Angeles,Los Angeles,CA,US,90015,US/Pacific,KCQT,2022-08-08T22:47:00.000-04:00,76.0,76.0,56.0,29.68,10.0,VAR,5.0,0.0,,Fair
C-8875842,0,34.06707,-118.410454,2022-02-17 01:36:00+00:00,2022-02-17 02:19:07+00:00,1.2599999904632568,1.0,2.0,Moderate,Delays of two minutes on Wilshire Blvd Eastbound between Comstock Ave and CA-2 Santa Monica Blvd. Average speed 15 mph.,Wilshire Blvd,Los Angeles,Los Angeles,CA,US,90024,US/Pacific,KSMO,2022-02-16T20:51:00.000-05:00,57.0,57.0,72.0,29.84,10.0,S,5.0,0.0,,Fair
