ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-13017927,2,25.782661,-80.849731,2022-08-06 02:53:00+00:00,2022-08-06 03:50:07+00:00,3.130000114440918,12.0,12.0,Fast,Severe delays of twelve minutes and delays increasing on US-41 Eastbound in Fortymile Bend. Average speed ten mph.,Tamiami Trl,Miami,Miami-Dade,FL,US,33194,US/Eastern,KTMB,2022-08-05T22:53:00.000-04:00,82.0,82.0,82.0,30.1,10.0,E,7.0,0.0,,Fair
C-24812328,2,25.939791,-80.19144399999998,2022-04-12 19:06:00+00:00,2022-04-12 19:54:33+00:00,2.8499999046325684,6.0,7.0,Slow,Delays of seven minutes and delays increasing on I-95 Northbound between Exits 12 12B 12C US-441 and I-95 Express Ln. Average speed ten mph.,I-95 N,Miami,Miami-Dade,FL,US,33162,US/Eastern,KHWO,2022-04-12T14:53:00.000-04:00,79.0,79.0,50.0,30.15,10.0,E,16.0,0.0,,Partly Cloudy
C-2184779,0,25.813894,-80.12380999999998,2022-05-25 20:31:00+00:00,2022-05-25 21:14:23+00:00,0.6800000071525574,2.0,2.0,Slow,Delays of two minutes on SR-A1A Southbound between FL-A1A Collins Ave and Indian Creek Dr. Average speed ten mph.,42nd St,Miami Beach,Miami-Dade,FL,US,33140,US/Eastern,KMIA,2022-05-25T16:53:00.000-04:00,86.0,86.0,61.0,30.02,10.0,ESE,17.0,0.0,,Mostly Cloudy
C-28468416,1,25.779881,-80.23119399999999,2022-02-23 21:44:00+00:00,2022-02-23 22:43:55+00:00,2.5299999713897705,3.0,6.0,Slow,Delays of six minutes and delays easing on Nw 22nd Ave Southbound in West Little Havana. Average speed ten mph.,NW 22nd Ave,Miami,Miami-Dade,FL,US,33125-3340,US/Eastern,KMIA,2022-02-23T16:53:00.000-05:00,78.0,78.0,64.0,30.16,10.0,E,10.0,0.0,,Partly Cloudy
C-17031633,0,25.761337,-80.371643,2022-05-11 21:57:00+00:00,2022-05-11 22:39:55+00:00,0.8299999833106995,0.0,1.0,Slow,Delays of one minute on US-41 8th St Westbound between 103rd Pl and 109th Ave. Average speed ten mph.,SW 8th St,Miami,Miami-Dade,FL,US,33174,US/Eastern,KMIA,2022-05-11T17:53:00.000-04:00,78.0,78.0,62.0,29.91,10.0,NE,18.0,0.0,,Mostly Cloudy
C-10237230,1,25.625778,-80.447052,2022-01-14 20:56:00+00:00,2022-01-14 21:53:09+00:00,2.289999961853028,6.0,7.0,Slow,Delays of seven minutes and delays easing on Sw 136th St Southbound between 161st Ave and 157th Ave. Average speed ten mph.,SW 157th Ave,Miami,Miami-Dade,FL,US,33196,US/Eastern,KTMB,2022-01-14T15:53:00.000-05:00,,,,29.95,,,,0.0,,
C-5183510,1,25.674217,-80.388535,2022-07-07 11:40:00+00:00,2022-07-07 12:59:13+00:00,2.690000057220459,3.0,3.0,Moderate,Delays of three minutes and delays easing on SR-821 Northbound in The Crossings. Average speed 20 mph.,Florida's Tpke N,Miami,Miami-Dade,FL,US,33186,US/Eastern,KTMB,2022-07-07T07:53:00.000-04:00,79.0,79.0,94.0,30.03,10.0,E,8.0,0.0,,Partly Cloudy
C-21948763,1,25.967489,-80.22936999999997,2022-08-24 21:33:00+00:00,2022-08-24 22:35:48+00:00,3.150000095367432,3.0,4.0,Fast,Delays of four minutes on Florida's Tpke Northbound between FL-826 and Exit 4X FL-817 University Dr. Average speed 20 mph.,Florida's Tpke N,Miami,Miami-Dade,FL,US,33169,US/Eastern,KHWO,2022-08-24T17:53:00.000-04:00,88.0,88.0,63.0,29.95,10.0,E,14.0,0.0,,Partly Cloudy
C-21949494,1,25.73311,-80.316322,2022-08-24 22:19:00+00:00,2022-08-24 23:00:30+00:00,2.6600000858306885,2.0,8.0,Slow,Delays of eight minutes on SR-976 Westbound in Coral Terrace. Average speed ten mph.,Bird Rd,Miami,Miami-Dade,FL,US,33155-6635,US/Eastern,KMIA,2022-08-24T17:53:00.000-04:00,89.0,89.0,63.0,29.94,10.0,SSE,9.0,0.0,,Mostly Cloudy
C-2428770,0,25.750151,-80.247398,2022-08-08 20:58:00+00:00,2022-08-08 22:11:21+00:00,2.190000057220459,2.0,4.0,Slow,Delays of four minutes and delays increasing on SR-972 Westbound in The Pines. Average speed ten mph.,Coral Way,Miami,Miami-Dade,FL,US,33145-2233,US/Eastern,KMIA,2022-08-08T16:53:00.000-04:00,87.0,87.0,65.0,30.02,10.0,ESE,14.0,0.0,,Mostly Cloudy
