ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-24238005,0,40.734619,-73.994621,2022-07-20 13:14:00+00:00,2022-07-20 13:55:58+00:00,1.0499999523162842,1.0,2.0,Slow,Delays of two minutes on 5th Ave Southbound between Broadway and 11th St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10003-4304,US/Eastern,KJRB,2022-07-20T08:51:00.000-04:00,82.0,82.0,58.0,29.71,10.0,VAR,3.0,0.0,,Fair
C-8534130,0,40.769493,-73.984581,2022-02-04 21:56:00+00:00,2022-02-04 22:48:14+00:00,2.190000057220459,2.0,3.0,Slow,Delays of three minutes and delays increasing on Columbus Ave Southbound between 86th St and 9th Ave. Average speed ten mph.,Columbus Ave,New York,New York,NY,US,10023-6924,US/Eastern,KNYC,2022-02-04T16:51:00.000-05:00,31.0,22.0,92.0,29.82,3.0,NNW,10.0,0.04,,Wintry Mix
C-18591042,1,40.784389,-73.943878,2022-03-03 14:25:00+00:00,2022-03-03 15:12:18+00:00,3.440000057220459,1.0,6.0,Slow,Delays of six minutes and delays increasing on 1st Ave Northbound in Yorkville. Average speed ten mph.,1st Ave,New York,New York,NY,US,10029-7410,US/Eastern,KNYC,2022-03-03T09:51:00.000-05:00,39.0,32.0,33.0,29.92,10.0,NW,10.0,0.0,,Fair
C-22743174,2,40.708149,-73.99945100000002,2022-02-14 21:24:00+00:00,2022-02-14 22:23:15+00:00,6.210000038146973,11.0,15.0,Moderate,Severe delays of 15 minutes and delays easing on Fdr Dr Southbound in Financial District. Average speed ten mph.,Brooklyn Bridge Walkway,New York,New York,NY,US,10038,US/Eastern,KJRB,2022-02-14T16:51:00.000-05:00,24.0,,37.0,30.1,10.0,,,0.0,,Fair
C-5496055,1,40.769821,-73.988045,2022-01-28 13:42:00+00:00,2022-01-28 15:01:14+00:00,2.2699999809265137,2.0,5.0,Slow,Delays of five minutes on 10th Ave Northbound between NY-495 Lincoln Tunnel Expy and Amsterdam Ave. Average speed ten mph.,W 58th St,New York,New York,NY,US,10019-1102,US/Eastern,KNYC,2022-01-28T08:51:00.000-05:00,29.0,29.0,78.0,30.05,1.0,CALM,0.0,0.0,,Light Snow
C-80222,2,40.760151,-74.003067,2022-03-13 05:09:00+00:00,2022-03-13 06:09:05+00:00,0.0,21.0,21.0,Slow,Severe delays of 21 minutes and delays increasing on RT-495 Northbound in Garment District. Average speed five mph.,12th Ave,New York,New York,NY,US,10018,US/Eastern,KNYC,2022-03-13T00:51:00.000-05:00,23.0,10.0,40.0,29.69,10.0,W,16.0,0.0,,Fair
C-7694969,0,40.763416,-73.959213,2022-05-03 15:27:00+00:00,2022-05-03 16:12:24+00:00,1.3600000143051147,1.0,2.0,Slow,Delays of two minutes on 1st Ave Northbound between 49th St and 66th St. Average speed ten mph.,E 65th St,New York,New York,NY,US,10065,US/Eastern,KNYC,2022-05-03T11:21:00.000-04:00,58.0,58.0,65.0,30.08,10.0,E,9.0,0.0,,Fair
C-2835237,1,40.731831,-73.996651,2022-04-08 19:10:00+00:00,2022-04-08 20:09:02+00:00,2.4100000858306885,2.0,5.0,Slow,Delays of five minutes and delays increasing on 5th Ave Southbound between 37th St and Washington Sq. Average speed ten mph.,5th Ave,New York,New York,NY,US,10011-8800,US/Eastern,KNYC,2022-04-08T14:51:00.000-04:00,63.0,63.0,30.0,29.53,10.0,VAR,3.0,0.0,,Fair
C-9225686,0,40.79034,-73.93956,2022-07-18 12:42:00+00:00,2022-07-18 13:31:01+00:00,1.3799999952316284,3.0,3.0,Slow,Delays of three minutes and delays easing on 1st Ave Northbound between 90th St and 108th St. Average speed ten mph.,1st Ave,New York,New York,NY,US,10029-4306,US/Eastern,KNYC,2022-07-18T08:51:00.000-04:00,73.0,73.0,93.0,29.87,6.0,ENE,3.0,0.0,,Mostly Cloudy
C-22672174,1,40.765541,-73.97625699999998,2022-06-28 15:43:00+00:00,2022-06-28 16:41:52+00:00,3.130000114440918,3.0,9.0,Slow,Delays of nine minutes and delays increasing on 6th Ave Northbound between 20th St and Central Park. Average speed five mph.,Center Dr,New York,New York,NY,US,10023,US/Eastern,KNYC,2022-06-28T11:51:00.000-04:00,75.0,75.0,37.0,30.06,10.0,CALM,0.0,0.0,,Fair
