EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1648626,Snow,Light,2016-01-01 14:55:00+00:00,2016-01-01 16:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648627,Snow,Light,2016-01-04 02:55:00+00:00,2016-01-04 03:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648628,Snow,Light,2016-01-04 15:55:00+00:00,2016-01-04 16:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648629,Snow,Light,2016-01-04 18:35:00+00:00,2016-01-04 19:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648630,Rain,Light,2016-01-08 08:15:00+00:00,2016-01-08 10:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648631,Rain,Light,2016-01-08 11:35:00+00:00,2016-01-08 13:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648632,Rain,Light,2016-01-08 15:15:00+00:00,2016-01-08 16:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648633,Rain,Light,2016-01-08 17:15:00+00:00,2016-01-08 19:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648634,Rain,Light,2016-01-08 20:55:00+00:00,2016-01-09 00:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648635,Fog,Severe,2016-01-09 00:55:00+00:00,2016-01-09 01:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648636,Rain,Light,2016-01-09 01:15:00+00:00,2016-01-09 02:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648637,Fog,Severe,2016-01-09 05:35:00+00:00,2016-01-09 05:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648638,Fog,Severe,2016-01-09 06:15:00+00:00,2016-01-09 07:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648639,Fog,Severe,2016-01-09 13:15:00+00:00,2016-01-09 14:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648640,Rain,Light,2016-01-09 18:15:00+00:00,2016-01-09 21:35:00+00:00,0.16,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648641,Snow,Moderate,2016-01-09 21:35:00+00:00,2016-01-09 21:55:00+00:00,0.05,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648642,Snow,Heavy,2016-01-09 21:55:00+00:00,2016-01-09 22:15:00+00:00,0.08,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648643,Snow,Moderate,2016-01-09 22:15:00+00:00,2016-01-09 22:35:00+00:00,0.03,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648644,Snow,Heavy,2016-01-09 22:35:00+00:00,2016-01-09 23:15:00+00:00,0.16,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648645,Snow,Light,2016-01-09 23:15:00+00:00,2016-01-10 01:55:00+00:00,0.04,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648646,Snow,Light,2016-01-10 02:15:00+00:00,2016-01-10 04:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648647,Snow,Light,2016-01-10 14:55:00+00:00,2016-01-10 15:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648648,Snow,Light,2016-01-10 15:35:00+00:00,2016-01-10 15:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648649,Snow,Light,2016-01-10 16:35:00+00:00,2016-01-10 17:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648650,Snow,Light,2016-01-10 17:35:00+00:00,2016-01-10 17:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648651,Snow,Light,2016-01-10 18:35:00+00:00,2016-01-10 19:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648652,Snow,Light,2016-01-10 22:15:00+00:00,2016-01-10 22:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648653,Snow,Light,2016-01-11 16:55:00+00:00,2016-01-11 21:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648654,Snow,Light,2016-01-11 22:35:00+00:00,2016-01-12 07:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648655,Snow,Light,2016-01-12 08:55:00+00:00,2016-01-12 11:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648656,Fog,Moderate,2016-01-12 11:55:00+00:00,2016-01-12 12:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648657,Snow,Light,2016-01-12 12:55:00+00:00,2016-01-12 13:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648658,Fog,Moderate,2016-01-12 18:15:00+00:00,2016-01-12 18:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648659,Snow,Light,2016-01-13 16:15:00+00:00,2016-01-13 19:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648660,Rain,Light,2016-01-15 16:15:00+00:00,2016-01-15 18:55:00+00:00,0.08,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648661,Rain,Moderate,2016-01-15 18:55:00+00:00,2016-01-15 19:15:00+00:00,0.12,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648662,Rain,Light,2016-01-15 19:15:00+00:00,2016-01-15 19:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648663,Rain,Light,2016-01-16 06:15:00+00:00,2016-01-16 06:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648664,Snow,Light,2016-01-17 12:15:00+00:00,2016-01-17 12:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648665,Snow,Light,2016-01-20 06:35:00+00:00,2016-01-20 11:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648666,Snow,Light,2016-01-20 13:15:00+00:00,2016-01-20 16:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648667,Snow,Light,2016-01-20 17:35:00+00:00,2016-01-20 18:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648668,Snow,Light,2016-01-22 14:55:00+00:00,2016-01-22 15:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1648669,Rain,Light,2016-01-25 21:15:00+00:00,2016-01-25 21:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
