EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1653301,Fog,Severe,2022-01-01 05:35:00+00:00,2022-01-01 06:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653302,Rain,Light,2022-01-01 09:35:00+00:00,2022-01-01 09:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653303,Rain,Light,2022-01-01 17:35:00+00:00,2022-01-01 18:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653304,Rain,Light,2022-01-01 18:35:00+00:00,2022-01-01 18:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653305,Snow,Light,2022-01-01 18:55:00+00:00,2022-01-02 10:15:00+00:00,0.1,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653306,Snow,Light,2022-01-02 11:35:00+00:00,2022-01-02 11:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653307,Snow,Light,2022-01-02 13:55:00+00:00,2022-01-02 14:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653308,Snow,Light,2022-01-02 14:35:00+00:00,2022-01-02 16:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653309,Snow,Light,2022-01-02 17:15:00+00:00,2022-01-02 17:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653310,Snow,Light,2022-01-02 19:35:00+00:00,2022-01-02 19:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653311,Snow,Light,2022-01-05 13:15:00+00:00,2022-01-05 14:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653312,Snow,Light,2022-01-05 14:55:00+00:00,2022-01-05 15:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653313,Snow,Light,2022-01-05 18:15:00+00:00,2022-01-05 18:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653314,Snow,Light,2022-01-05 19:15:00+00:00,2022-01-05 20:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653315,Snow,Light,2022-01-05 20:55:00+00:00,2022-01-05 22:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653316,Fog,Moderate,2022-01-05 23:55:00+00:00,2022-01-06 00:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653317,Snow,Light,2022-01-06 04:15:00+00:00,2022-01-06 05:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653318,Snow,Light,2022-01-06 22:55:00+00:00,2022-01-06 23:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653319,Rain,Light,2022-01-09 02:15:00+00:00,2022-01-09 02:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653320,Rain,Light,2022-01-09 04:15:00+00:00,2022-01-09 07:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653321,Cold,Severe,2022-01-12 15:55:00+00:00,2022-01-12 16:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653322,Snow,Light,2022-01-14 13:15:00+00:00,2022-01-14 14:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653323,Rain,Light,2022-01-14 22:35:00+00:00,2022-01-14 22:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653324,Snow,Light,2022-01-14 23:15:00+00:00,2022-01-15 00:35:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653325,Snow,Light,2022-01-15 02:15:00+00:00,2022-01-15 03:15:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
W-1653326,Snow,Light,2022-01-15 06:35:00+00:00,2022-01-15 10:55:00+00:00,0.0,US/Central,KIGQ,41.5412,-87.5282,Chicago Heights,Cook,IL,60411
