EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3819075,Fog,Moderate,2016-01-01 08:47:00+00:00,2016-01-01 09:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819076,Rain,Light,2016-01-04 09:47:00+00:00,2016-01-04 10:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819077,Rain,Light,2016-01-05 13:47:00+00:00,2016-01-05 14:16:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819078,Rain,Light,2016-01-05 14:47:00+00:00,2016-01-05 14:59:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819079,Rain,Light,2016-01-05 15:17:00+00:00,2016-01-05 15:28:00+00:00,0.08,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819080,Rain,Moderate,2016-01-05 15:28:00+00:00,2016-01-05 15:49:00+00:00,0.39,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819081,Rain,Light,2016-01-05 15:49:00+00:00,2016-01-05 16:42:00+00:00,0.41,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819082,Rain,Moderate,2016-01-05 16:42:00+00:00,2016-01-05 16:50:00+00:00,0.22,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819083,Rain,Light,2016-01-05 16:50:00+00:00,2016-01-05 17:18:00+00:00,0.18,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819084,Rain,Moderate,2016-01-05 17:18:00+00:00,2016-01-05 17:47:00+00:00,0.42,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819085,Rain,Heavy,2016-01-05 17:47:00+00:00,2016-01-05 17:58:00+00:00,0.29,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819086,Rain,Light,2016-01-05 17:58:00+00:00,2016-01-05 18:29:00+00:00,0.27,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819087,Rain,Moderate,2016-01-05 18:29:00+00:00,2016-01-05 18:58:00+00:00,0.47,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819088,Rain,Light,2016-01-05 18:58:00+00:00,2016-01-05 20:29:00+00:00,0.34,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
