EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3822053,Fog,Moderate,2022-01-01 08:35:00+00:00,2022-01-01 09:35:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822054,Fog,Moderate,2022-01-06 04:52:00+00:00,2022-01-06 05:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822055,Fog,Moderate,2022-01-06 06:52:00+00:00,2022-01-06 07:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822056,Fog,Moderate,2022-01-07 04:52:00+00:00,2022-01-07 05:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822057,Fog,Severe,2022-01-07 10:58:00+00:00,2022-01-07 20:48:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822058,Fog,Moderate,2022-01-07 20:48:00+00:00,2022-01-07 21:29:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822059,Fog,Severe,2022-01-07 21:29:00+00:00,2022-01-08 01:02:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822060,Fog,Moderate,2022-01-08 01:02:00+00:00,2022-01-08 02:12:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822061,Fog,Moderate,2022-01-08 03:52:00+00:00,2022-01-08 04:45:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822062,Rain,Light,2022-01-08 06:52:00+00:00,2022-01-08 07:34:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822063,Fog,Moderate,2022-01-09 07:52:00+00:00,2022-01-09 08:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822064,Fog,Moderate,2022-01-09 11:52:00+00:00,2022-01-09 16:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822065,Fog,Moderate,2022-01-10 03:52:00+00:00,2022-01-10 05:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822066,Cold,Severe,2022-01-11 06:52:00+00:00,2022-01-11 07:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822067,Cold,Severe,2022-01-14 03:52:00+00:00,2022-01-14 04:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822068,Cold,Severe,2022-01-14 15:52:00+00:00,2022-01-14 16:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822069,Rain,Light,2022-01-15 17:52:00+00:00,2022-01-15 18:52:00+00:00,0.01,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822070,Rain,Light,2022-01-15 19:52:00+00:00,2022-01-15 21:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822071,Rain,Light,2022-01-15 23:52:00+00:00,2022-01-16 00:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822072,Rain,Light,2022-01-16 02:52:00+00:00,2022-01-16 03:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822073,Rain,Light,2022-01-17 10:52:00+00:00,2022-01-17 12:52:00+00:00,0.02,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822074,Rain,Light,2022-01-17 13:52:00+00:00,2022-01-17 15:52:00+00:00,0.16,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822075,Rain,Light,2022-01-17 16:28:00+00:00,2022-01-17 16:52:00+00:00,0.04,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822076,Cold,Severe,2022-01-18 05:52:00+00:00,2022-01-18 06:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822077,Fog,Moderate,2022-01-18 16:19:00+00:00,2022-01-18 17:14:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822078,Fog,Moderate,2022-01-19 13:52:00+00:00,2022-01-19 15:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822079,Fog,Moderate,2022-01-19 16:52:00+00:00,2022-01-19 20:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822080,Cold,Severe,2022-01-20 15:52:00+00:00,2022-01-20 16:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822081,Cold,Severe,2022-01-24 03:52:00+00:00,2022-01-24 04:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822082,Cold,Severe,2022-01-24 05:52:00+00:00,2022-01-24 06:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822083,Fog,Severe,2022-01-25 08:58:00+00:00,2022-01-25 09:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822084,Fog,Severe,2022-01-25 09:58:00+00:00,2022-01-25 10:01:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822085,Fog,Severe,2022-01-25 11:04:00+00:00,2022-01-25 12:19:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822086,Cold,Severe,2022-01-25 12:19:00+00:00,2022-01-25 12:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822087,Fog,Moderate,2022-01-26 03:52:00+00:00,2022-01-26 04:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822088,Fog,Moderate,2022-01-26 15:52:00+00:00,2022-01-26 16:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822089,Cold,Severe,2022-01-30 14:52:00+00:00,2022-01-30 15:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822090,Cold,Severe,2022-02-01 09:17:00+00:00,2022-02-01 09:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822091,Fog,Moderate,2022-02-01 13:52:00+00:00,2022-02-01 14:39:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822092,Fog,Moderate,2022-02-01 15:11:00+00:00,2022-02-01 16:15:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822093,Fog,Moderate,2022-02-01 16:24:00+00:00,2022-02-01 16:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822094,Cold,Severe,2022-02-01 21:52:00+00:00,2022-02-01 22:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822095,Fog,Moderate,2022-02-02 13:52:00+00:00,2022-02-02 14:52:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822096,Cold,Severe,2022-02-03 21:57:00+00:00,2022-02-03 22:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822097,Cold,Severe,2022-02-04 17:57:00+00:00,2022-02-04 18:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822098,Fog,Moderate,2022-02-05 14:57:00+00:00,2022-02-05 15:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822099,Cold,Severe,2022-02-06 09:57:00+00:00,2022-02-06 10:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822100,Cold,Severe,2022-02-07 23:57:00+00:00,2022-02-08 01:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822101,Cold,Severe,2022-02-08 02:57:00+00:00,2022-02-08 04:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822102,Cold,Severe,2022-02-09 00:57:00+00:00,2022-02-09 02:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822103,Cold,Severe,2022-02-09 05:57:00+00:00,2022-02-09 06:57:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822104,Cold,Severe,2022-02-13 22:47:00+00:00,2022-02-13 23:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822105,Fog,Severe,2022-02-17 15:04:00+00:00,2022-02-17 15:14:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822106,Fog,Moderate,2022-02-17 15:14:00+00:00,2022-02-17 15:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822107,Fog,Moderate,2022-02-20 16:07:00+00:00,2022-02-20 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822108,Fog,Moderate,2022-02-20 18:47:00+00:00,2022-02-20 19:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822109,Fog,Severe,2022-02-28 14:12:00+00:00,2022-02-28 14:23:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822110,Fog,Moderate,2022-02-28 14:23:00+00:00,2022-02-28 14:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822111,Fog,Severe,2022-03-03 15:36:00+00:00,2022-03-03 16:08:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822112,Fog,Moderate,2022-03-03 16:47:00+00:00,2022-03-03 18:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822113,Fog,Moderate,2022-03-04 15:47:00+00:00,2022-03-04 16:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822114,Rain,Light,2022-03-06 00:36:00+00:00,2022-03-06 01:47:00+00:00,0.08,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822115,Fog,Severe,2022-03-08 14:09:00+00:00,2022-03-08 14:12:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822116,Fog,Moderate,2022-03-08 14:12:00+00:00,2022-03-08 14:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822117,Fog,Moderate,2022-03-16 16:47:00+00:00,2022-03-16 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822118,Fog,Moderate,2022-03-19 16:47:00+00:00,2022-03-19 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822119,Rain,Light,2022-03-20 07:10:00+00:00,2022-03-20 07:37:00+00:00,0.02,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822120,Fog,Severe,2022-03-25 15:20:00+00:00,2022-03-25 16:15:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822121,Cold,Severe,2022-03-26 02:47:00+00:00,2022-03-26 09:34:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822122,Rain,Light,2022-03-28 14:47:00+00:00,2022-03-29 14:47:00+00:00,0.2,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822123,Cold,Severe,2022-03-31 02:49:00+00:00,2022-03-31 03:00:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822124,Fog,Moderate,2022-04-04 17:35:00+00:00,2022-04-04 20:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822125,Fog,Moderate,2022-04-05 15:47:00+00:00,2022-04-05 16:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822126,Fog,Moderate,2022-04-05 17:47:00+00:00,2022-04-05 18:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822127,Fog,Moderate,2022-04-10 14:47:00+00:00,2022-04-10 16:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822128,Rain,Light,2022-04-22 07:27:00+00:00,2022-04-22 08:32:00+00:00,0.17,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822129,Rain,Moderate,2022-04-22 08:32:00+00:00,2022-04-22 08:51:00+00:00,0.99,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822130,Rain,Light,2022-04-22 08:51:00+00:00,2022-04-22 14:23:00+00:00,0.12,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822131,Fog,Moderate,2022-04-24 14:47:00+00:00,2022-04-24 15:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822132,Fog,Moderate,2022-04-27 14:47:00+00:00,2022-04-27 15:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822133,Fog,Severe,2022-04-29 14:26:00+00:00,2022-04-29 14:36:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822134,Fog,Moderate,2022-05-05 15:47:00+00:00,2022-05-05 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822135,Fog,Moderate,2022-05-05 19:47:00+00:00,2022-05-05 20:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822136,Fog,Moderate,2022-05-05 21:47:00+00:00,2022-05-05 22:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822137,Fog,Moderate,2022-05-06 16:47:00+00:00,2022-05-06 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822138,Fog,Moderate,2022-05-08 16:47:00+00:00,2022-05-08 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822139,Fog,Moderate,2022-05-12 17:47:00+00:00,2022-05-12 18:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822140,Fog,Moderate,2022-05-16 07:47:00+00:00,2022-05-16 08:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822141,Fog,Moderate,2022-05-17 14:47:00+00:00,2022-05-17 15:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822142,Fog,Moderate,2022-05-19 08:47:00+00:00,2022-05-19 12:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822143,Fog,Moderate,2022-05-19 15:47:00+00:00,2022-05-19 16:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822144,Fog,Moderate,2022-05-19 20:47:00+00:00,2022-05-19 21:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822145,Fog,Moderate,2022-05-25 09:47:00+00:00,2022-05-25 10:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822146,Fog,Moderate,2022-05-25 14:47:00+00:00,2022-05-25 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3822147,Fog,Moderate,2022-05-25 18:47:00+00:00,2022-05-25 19:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
