EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-7401505,Fog,Severe,2016-01-01 05:46:00+00:00,2016-01-01 08:17:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401506,Rain,Light,2016-01-01 08:17:00+00:00,2016-01-01 08:53:00+00:00,0.08,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401507,Fog,Severe,2016-01-01 10:07:00+00:00,2016-01-01 11:38:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401508,Fog,Severe,2016-01-01 11:43:00+00:00,2016-01-01 12:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401509,Fog,Severe,2016-01-02 10:00:00+00:00,2016-01-02 10:23:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401510,Fog,Severe,2016-01-02 10:30:00+00:00,2016-01-02 10:35:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401511,Fog,Severe,2016-01-02 11:10:00+00:00,2016-01-02 11:49:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401512,Rain,Light,2016-01-03 04:53:00+00:00,2016-01-03 05:49:00+00:00,0.07,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401513,Rain,Light,2016-01-03 20:46:00+00:00,2016-01-03 20:53:00+00:00,0.09,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7401514,Rain,Moderate,2016-01-03 20:53:00+00:00,2016-01-03 20:58:00+00:00,0.16,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
