EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-7405485,Rain,Light,2022-01-01 00:53:00+00:00,2022-01-01 01:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405486,Rain,Light,2022-01-01 11:53:00+00:00,2022-01-01 12:23:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405487,Rain,Light,2022-01-01 12:32:00+00:00,2022-01-01 12:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405488,Rain,Light,2022-01-03 16:33:00+00:00,2022-01-03 16:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405489,Cold,Severe,2022-01-04 00:53:00+00:00,2022-01-04 21:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405490,Rain,Light,2022-01-05 10:53:00+00:00,2022-01-05 12:46:00+00:00,0.12,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405491,Cold,Severe,2022-01-05 17:53:00+00:00,2022-01-05 20:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405492,Cold,Severe,2022-01-06 08:53:00+00:00,2022-01-06 10:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405493,Cold,Severe,2022-01-06 11:53:00+00:00,2022-01-06 15:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405494,Cold,Severe,2022-01-06 16:53:00+00:00,2022-01-06 17:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405495,Cold,Severe,2022-01-06 18:53:00+00:00,2022-01-06 19:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405496,Cold,Severe,2022-01-06 20:53:00+00:00,2022-01-08 14:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405497,Cold,Severe,2022-01-08 17:53:00+00:00,2022-01-13 19:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405498,Cold,Severe,2022-01-13 20:53:00+00:00,2022-01-15 00:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405499,Fog,Severe,2022-01-15 09:34:00+00:00,2022-01-15 10:06:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405500,Precipitation,UNK,2022-01-16 17:50:00+00:00,2022-01-16 18:12:00+00:00,0.42,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405501,Rain,Light,2022-01-16 18:12:00+00:00,2022-01-16 18:25:00+00:00,0.01,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405502,Rain,Light,2022-01-16 18:40:00+00:00,2022-01-16 20:20:00+00:00,0.22,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405503,Rain,Light,2022-01-16 21:15:00+00:00,2022-01-16 21:50:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405504,Rain,Light,2022-01-19 13:53:00+00:00,2022-01-19 14:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405505,Rain,Light,2022-01-20 11:53:00+00:00,2022-01-20 13:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405506,Rain,Light,2022-01-20 17:53:00+00:00,2022-01-20 19:53:00+00:00,0.04,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405507,Rain,Light,2022-01-20 20:12:00+00:00,2022-01-20 20:53:00+00:00,0.09,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405508,Rain,Light,2022-01-20 21:36:00+00:00,2022-01-20 22:53:00+00:00,0.14,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405509,Rain,Light,2022-01-21 03:53:00+00:00,2022-01-21 04:06:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405510,Cold,Severe,2022-01-21 06:26:00+00:00,2022-01-21 12:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405511,Cold,Severe,2022-01-21 13:53:00+00:00,2022-01-21 14:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405512,Cold,Severe,2022-01-22 02:53:00+00:00,2022-01-22 12:17:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405513,Rain,Light,2022-01-22 19:53:00+00:00,2022-01-22 20:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405514,Rain,Light,2022-01-23 00:53:00+00:00,2022-01-23 01:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405515,Rain,Light,2022-01-23 02:53:00+00:00,2022-01-23 03:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405516,Rain,Light,2022-01-23 04:32:00+00:00,2022-01-23 05:08:00+00:00,0.01,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405517,Rain,Light,2022-01-23 06:53:00+00:00,2022-01-23 07:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405518,Rain,Light,2022-01-26 07:53:00+00:00,2022-01-26 08:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405519,Rain,Light,2022-01-26 17:21:00+00:00,2022-01-26 17:28:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405520,Rain,Light,2022-01-27 02:31:00+00:00,2022-01-27 03:53:00+00:00,0.07,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405521,Fog,Severe,2022-01-27 05:53:00+00:00,2022-01-27 06:07:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
