EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1054364,Cold,Severe,2016-01-08 16:51:00+00:00,2016-01-08 17:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054365,Cold,Severe,2016-01-09 15:51:00+00:00,2016-01-09 16:26:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054366,Rain,Light,2016-01-09 17:51:00+00:00,2016-01-09 18:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054367,Rain,Light,2016-01-10 07:51:00+00:00,2016-01-10 09:39:00+00:00,0.14,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054368,Rain,Moderate,2016-01-10 09:39:00+00:00,2016-01-10 10:02:00+00:00,0.48,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054369,Rain,Light,2016-01-10 10:02:00+00:00,2016-01-10 10:37:00+00:00,0.07,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054370,Rain,Moderate,2016-01-10 10:37:00+00:00,2016-01-10 10:46:00+00:00,0.26,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054371,Rain,Heavy,2016-01-10 10:46:00+00:00,2016-01-10 11:01:00+00:00,0.61,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054372,Rain,Light,2016-01-10 11:01:00+00:00,2016-01-10 11:29:00+00:00,0.04,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054373,Rain,Moderate,2016-01-10 11:29:00+00:00,2016-01-10 12:51:00+00:00,0.51,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054374,Rain,Heavy,2016-01-10 12:51:00+00:00,2016-01-10 13:13:00+00:00,0.47,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054375,Rain,Moderate,2016-01-10 13:13:00+00:00,2016-01-10 13:21:00+00:00,0.24,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054376,Rain,Heavy,2016-01-10 13:21:00+00:00,2016-01-10 14:51:00+00:00,1.3,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054377,Rain,Light,2016-01-10 15:45:00+00:00,2016-01-10 16:31:00+00:00,0.03,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054378,Fog,Severe,2016-01-10 16:31:00+00:00,2016-01-10 16:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054379,Rain,Light,2016-01-10 16:51:00+00:00,2016-01-10 17:51:00+00:00,0.09,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054380,Rain,Light,2016-01-10 20:51:00+00:00,2016-01-10 21:51:00+00:00,0.01,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054381,Rain,Light,2016-01-16 06:06:00+00:00,2016-01-16 07:48:00+00:00,0.18,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054382,Rain,Moderate,2016-01-16 07:48:00+00:00,2016-01-16 08:51:00+00:00,0.24,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054383,Rain,Light,2016-01-16 08:51:00+00:00,2016-01-16 10:51:00+00:00,0.06,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054384,Rain,Light,2016-01-16 11:51:00+00:00,2016-01-16 13:47:00+00:00,0.05,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054385,Snow,Light,2016-01-17 20:51:00+00:00,2016-01-18 00:51:00+00:00,0.06,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054386,Snow,Light,2016-01-18 11:32:00+00:00,2016-01-18 11:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054387,Snow,Light,2016-01-23 03:39:00+00:00,2016-01-23 05:51:00+00:00,0.03,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054388,Snow,Moderate,2016-01-23 05:51:00+00:00,2016-01-23 08:35:00+00:00,0.17,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
