EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1058787,Fog,Moderate,2022-01-01 01:51:00+00:00,2022-01-01 02:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058788,Rain,Light,2022-01-01 08:51:00+00:00,2022-01-01 09:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058789,Rain,Light,2022-01-01 10:51:00+00:00,2022-01-01 19:51:00+00:00,0.25,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058790,Rain,Light,2022-01-01 21:51:00+00:00,2022-01-02 02:41:00+00:00,0.47,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058791,Rain,Moderate,2022-01-02 02:41:00+00:00,2022-01-02 04:22:00+00:00,1.07,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058792,Rain,Light,2022-01-02 04:22:00+00:00,2022-01-02 06:27:00+00:00,0.12,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058793,Rain,Light,2022-01-02 07:04:00+00:00,2022-01-02 07:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058794,Fog,Severe,2022-01-02 09:24:00+00:00,2022-01-02 10:00:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058795,Rain,Light,2022-01-02 10:51:00+00:00,2022-01-02 11:51:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058796,Fog,Severe,2022-01-02 11:51:00+00:00,2022-01-02 12:19:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058797,Fog,Severe,2022-01-02 12:32:00+00:00,2022-01-02 12:47:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058798,Rain,Light,2022-01-05 10:33:00+00:00,2022-01-05 13:13:00+00:00,0.06,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058799,Rain,Light,2022-01-05 13:30:00+00:00,2022-01-05 13:46:00+00:00,0.01,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058800,Fog,Severe,2022-01-05 13:46:00+00:00,2022-01-05 14:01:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058801,Rain,Light,2022-01-05 14:51:00+00:00,2022-01-05 17:17:00+00:00,0.54,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058802,Snow,Light,2022-01-07 06:51:00+00:00,2022-01-07 08:51:00+00:00,0.08,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058803,Snow,Heavy,2022-01-07 08:51:00+00:00,2022-01-07 09:07:00+00:00,0.1,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058804,Snow,Moderate,2022-01-07 09:07:00+00:00,2022-01-07 09:42:00+00:00,0.03,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058805,Snow,Heavy,2022-01-07 09:42:00+00:00,2022-01-07 11:01:00+00:00,0.25,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058806,Snow,Light,2022-01-07 11:01:00+00:00,2022-01-07 11:34:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058807,Snow,Moderate,2022-01-07 11:34:00+00:00,2022-01-07 11:51:00+00:00,0.1,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058808,Snow,Heavy,2022-01-07 11:51:00+00:00,2022-01-07 12:11:00+00:00,0.07,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058809,Snow,Light,2022-01-07 12:11:00+00:00,2022-01-07 14:11:00+00:00,0.05,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058810,Fog,Severe,2022-01-07 14:11:00+00:00,2022-01-07 14:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058811,Fog,Moderate,2022-01-07 14:51:00+00:00,2022-01-07 16:06:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058812,Snow,Light,2022-01-07 16:06:00+00:00,2022-01-07 16:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058813,Rain,Light,2022-01-09 15:51:00+00:00,2022-01-09 16:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058814,Rain,Light,2022-01-09 19:51:00+00:00,2022-01-10 02:31:00+00:00,0.13,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058815,Snow,Light,2022-01-11 05:51:00+00:00,2022-01-11 06:20:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058816,Snow,Light,2022-01-16 23:51:00+00:00,2022-01-17 01:46:00+00:00,0.09,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058817,Snow,Moderate,2022-01-17 01:46:00+00:00,2022-01-17 02:51:00+00:00,0.08,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058818,Snow,Heavy,2022-01-17 02:51:00+00:00,2022-01-17 03:09:00+00:00,0.07,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058819,Snow,Light,2022-01-17 03:09:00+00:00,2022-01-17 03:51:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058820,Rain,Light,2022-01-17 03:51:00+00:00,2022-01-17 04:51:00+00:00,0.09,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058821,Rain,Moderate,2022-01-17 04:51:00+00:00,2022-01-17 07:01:00+00:00,0.7,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1058822,Rain,Light,2022-01-17 07:01:00+00:00,2022-01-17 07:51:00+00:00,0.09,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
